configuration,discrete_treatment,bias,abs_bias,mse,rmse,coverage,n_simulations,dgp_n,dgp_p,dgp_true_effect,dgp_confounding
CURRENT,False,-0.05773347230988102,0.05773347230988102,0.01741528886351894,0.1319669991456915,1.0,100,500,5,2.0,0.5
CORRECTED,True,-0.012687938063953297,0.012687938063953297,0.014573284299361224,0.12071985876135385,1.0,100,500,5,2.0,0.5
CURRENT,False,-0.06375137674815923,0.06375137674815923,0.21904796287689807,0.46802560066400006,1.0,100,500,10,2.0,1.0
CORRECTED,True,-0.033282459242419016,0.033282459242419016,0.244535757300652,0.49450556852340094,1.0,100,500,10,2.0,1.0
CURRENT,False,-0.1930309179700509,0.1930309179700509,2.9055649681533935,1.7045717843943662,0.99,100,200,10,2.0,2.0
CORRECTED,True,-0.001498102125917944,0.001498102125917944,3.161962452920597,1.7781907807995736,1.0,100,200,10,2.0,2.0
CURRENT,False,-0.03140896103277979,0.03140896103277979,0.03948146482699657,0.19869943338368273,0.99,100,500,5,0.5,1.0
CORRECTED,True,0.004361325695539042,0.004361325695539042,0.051347390912738565,0.22659962690335253,1.0,100,500,5,0.5,1.0
CURRENT,False,-0.034643736355495,0.034643736355495,0.008169118735461327,0.09038317728129128,1.0,100,1000,5,2.0,0.5
CORRECTED,True,-0.008320458860105795,0.008320458860105795,0.004545822402924468,0.0674227142951429,1.0,100,1000,5,2.0,0.5
