Configuration,Method,Bias,Abs_Bias,MSE,RMSE,Coverage,Status,P_Value
"n=500, p=5, true_effect=2.0, confounding_strength=0.5",NaiveOLS,0.07449406934257308,0.07449406934257308,0.15351364832822517,0.3918081779751734,0.4,FAIL,0.0
"n=500, p=5, true_effect=2.0, confounding_strength=0.5",OLSWithControls,-0.004526606384783749,0.004526606384783749,0.008869861274094393,0.09417994093273999,0.75,FAIL,1.6944119440864824e-09
"n=500, p=5, true_effect=2.0, confounding_strength=0.5",IPWEstimator,-0.0344761157798128,0.0344761157798128,0.011441520281092136,0.1069650423320261,1.0,FAIL,0.0
"n=500, p=5, true_effect=2.0, confounding_strength=0.5",AugmentedIPW,-0.05039661084561442,0.05039661084561442,0.011319857636113321,0.10639481959246569,0.9,FAIL,0.0
"n=500, p=5, true_effect=2.0, confounding_strength=0.5",RandomForest,-0.032560220275045015,0.032560220275045015,0.04085699992916127,0.20213114537141788,0.7,FAIL,0.0
"n=500, p=5, true_effect=2.0, confounding_strength=0.5",XGBoost,0.013171424153839428,0.013171424153839428,0.02166177252355026,0.14717938892232926,0.65,FAIL,0.0
"n=500, p=5, true_effect=2.0, confounding_strength=0.5",DML,-0.009264226219365623,0.009264226219365623,0.009267553987164188,0.09626813588703267,1.0,FAIL,0.0
"n=500, p=5, true_effect=2.0, confounding_strength=1.0",NaiveOLS,0.14826913078015558,0.14826913078015558,1.0577330754232201,1.0284615089653186,0.4,FAIL,0.0
"n=500, p=5, true_effect=2.0, confounding_strength=1.0",OLSWithControls,0.0014472350401404377,0.0014472350401404377,0.009731223346585069,0.09864696318987762,0.9,FAIL,0.007454050630652631
"n=500, p=5, true_effect=2.0, confounding_strength=1.0",IPWEstimator,-0.07470604146678861,0.07470604146678861,0.2584246614966198,0.5083548578469766,0.85,FAIL,0.0
"n=500, p=5, true_effect=2.0, confounding_strength=1.0",AugmentedIPW,-0.06055462044868598,0.06055462044868598,0.027379090824264696,0.16546628304359984,0.85,FAIL,0.0
"n=500, p=5, true_effect=2.0, confounding_strength=1.0",RandomForest,0.004859972844322158,0.004859972844322158,0.4364105692312438,0.6606137821989818,0.55,PASS,0.14056333285338396
"n=500, p=5, true_effect=2.0, confounding_strength=1.0",XGBoost,0.12278940289936724,0.12278940289936724,0.28606545551936186,0.53485087222455,0.4,FAIL,0.0
"n=500, p=5, true_effect=2.0, confounding_strength=1.0",DML,0.009283732351093477,0.009283732351093477,0.047625149344509524,0.21823187059755852,1.0,FAIL,2.2917869824112813e-09
"n=500, p=5, true_effect=2.0, confounding_strength=2.0",NaiveOLS,0.27562408049650067,0.27562408049650067,5.909809133660373,2.431009899951124,0.35,FAIL,0.0
